bulan-tahun,realisasi
01-2013,345190762550
02-2013,310442774125
03-2013,336136981875
04-2013,354894458975
05-2013,375513236200
06-2013,366478160875
07-2013,439337036850
08-2013,306816303750
09-2013,373759343060
10-2013,391672058450
11-2013,358390429400
12-2013,355265595000
01-2014,396447730250
02-2014,371038673950
03-2014,389276449200
04-2014,396077333000
05-2014,406265588850
06-2014,445514816400
07-2014,425592207300
08-2014,399318897800
09-2014,432730856050
10-2014,437034164350
11-2014,398734858050
12-2014,440812555700
01-2015,452719711950
02-2015,388515338100
03-2015,438405378950
04-2015,432155865800
05-2015,438179083500
06-2015,496094592200
07-2015,428150719150
08-2015,442213031900
09-2015,452080781650
10-2015,478035025950
11-2015,445531441200
12-2015,463697225300
01-2016,493376094850
02-2016,448819113600
03-2016,491263610500
04-2016,483964842650
05-2016,501856892225
06-2016,604044803375
07-2016,402067268350
08-2016,535265012975
09-2016,518098432425
10-2016,522366932900
11-2016,553881282950
12-2016,630202501450
01-2017,542574862775
02-2017,458183580875
03-2017,530351959187
04-2017,478249376630
05-2017,555691921800
06-2017,494284680350
07-2017,563749813925
08-2017,606574387225
09-2017,539234225725
10-2017,592097537150
11-2017,594789219500
12-2017,578264714650
01-2018,642104296900
02-2018,527152253350
03-2018,598887367600
04-2018,564327342475
05-2018,627890164800
06-2018,437278576650
07-2018,783542187450
08-2018,808591434700
09-2018,563972493000
10-2018,647637709200
11-2018,635243840020
12-2018,704173936200
01-2019,740867106200
02-2019,588107417400
03-2019,648703365250
04-2019,579671326050
05-2019,730297926500
06-2019,488262876150
07-2019,748167227150
08-2019,708015014700
09-2019,663913874450
10-2019,704731454750
11-2019,717410017350
12-2019,856209562250
01-2020,707449178400
02-2020,626771633700
03-2020,631707699100
04-2020,470559961200
05-2020,470111369750
06-2020,643539685650
07-2020,712842342850
08-2020,647790526375
09-2020,645983035050
10-2020,611261700050
11-2020,676665305325
12-2020,765706205267
01-2021,661660916600
02-2021,573619694300
03-2021,674970715650
04-2021,618255992000
05-2021,578230794800
06-2021,643159346150
07-2021,585678661150
08-2021,748201748860
09-2021,722339218550
10-2021,695189101250
11-2021,748605490450
12-2021,930129750700